"STATION","NAME","DATE","CDSD","CLDD","DT00","DT32","DX32","DX70","DX90","EMNT","EMXT","HDSD","HTDD","PRCP","TAVG","TMAX","TMIN"
"IDM00097380","SABU TARDAMU, ID","2022-09",,"488","0","0","0","29","23","71","93",,"0",,"82.4","90.9","74.0"
"IDM00097380","SABU TARDAMU, ID","2022-10",,,,,"0","30","26",,"94",,,,,"91.4",
"IDM00096091","KIJANG, ID","2022-01",,,,,"0","28","0",,"90",,,,,"86.7",
"IDM00096091","KIJANG, ID","2022-02",,,,,"0","27","2",,"90",,,,,"86.7",
"IDM00096091","KIJANG, ID","2022-03",,,,,"0","28","7",,"92",,,,,"88.9",
"IDM00096091","KIJANG, ID","2022-04",,,"0","0","0","28","7","72","91",,,,"81.8","88.2","75.3"
"IDM00096091","KIJANG, ID","2022-05",,,,,"0","29","22",,"93",,,,,"90.0",
"IDM00096091","KIJANG, ID","2022-06",,,,,"0","30","2",,"90",,,,,"86.6",
"IDM00096091","KIJANG, ID","2022-07",,,,,"0","29","11",,"91",,,,,"88.8",
"IDM00096091","KIJANG, ID","2022-08",,,,,"0","30","5",,"91",,,,,"87.6",
"IDM00096091","KIJANG, ID","2022-09",,,,,"0","28","3",,"91",,,,,"87.2",
"IDM00096091","KIJANG, ID","2022-10",,,,,"0","29","1",,"91",,,,,"86.9",
"IDM00097180","HASANUDDIN, ID","2022-01",,,,,"0","27","2",,"91",,,,,"86.7",
"IDM00097180","HASANUDDIN, ID","2022-02",,,,,"0","25","4",,"91",,,,,"87.7",
"IDM00097180","HASANUDDIN, ID","2022-03",,,,,"0","29","14",,"92",,,,,"89.0",
"IDM00097180","HASANUDDIN, ID","2022-04",,,,,"0","28","19",,"95",,,,,"90.5",
"IDM00097180","HASANUDDIN, ID","2022-05",,,,,"0","29","23",,"95",,,,,"90.7",
"IDM00097180","HASANUDDIN, ID","2022-06",,,,,"0","30","15",,"94",,,,,"89.7",
"IDM00097180","HASANUDDIN, ID","2022-07",,,,,"0","31","24",,"94",,,,,"90.6",
"IDM00097180","HASANUDDIN, ID","2022-08",,,,,"0","30","26",,"93",,,,,"91.2",
"IDM00097180","HASANUDDIN, ID","2022-09",,,,,"0","29","24",,"95",,,,,"91.5",
"IDM00097180","HASANUDDIN, ID","2022-10",,,,,"0","28","16",,"94",,,,,"90.3",
"IDM00096015","MEULABOH CUT NYAK, ID","2022-01","465","465","0","0","0","30","15","71","92",,"0",,"81.6","89.5","73.7"
"IDM00096015","MEULABOH CUT NYAK, ID","2022-02","889","425","0","0","0","27","17","71","91",,"0",,"81.2","89.4","73.1"
"IDM00096015","MEULABOH CUT NYAK, ID","2022-03",,,"0","0","0","30","9","72","91",,,,"81.1","88.8","73.4"
"IDM00096015","MEULABOH CUT NYAK, ID","2022-04",,"421","0","0","0","28","13","68","91",,"0",,"81.7","89.5","73.9"
"IDM00096015","MEULABOH CUT NYAK, ID","2022-05",,,"0","0","0","29","17","72","92",,,,"81.7","89.5","73.9"
"IDM00096015","MEULABOH CUT NYAK, ID","2022-06",,"387","0","0","0","29","4","71","91",,"0",,"80.5","88.3","72.7"
"IDM00096015","MEULABOH CUT NYAK, ID","2022-07",,"453","0","0","0","31","14","71","93","0","0",,"81.2","89.2","73.3"
"IDM00096015","MEULABOH CUT NYAK, ID","2022-08",,"453","0","0","0","31","11","70","92","0","0",,"80.6","88.2","72.9"
"IDM00096015","MEULABOH CUT NYAK, ID","2022-09",,"430","0","0","0","30","5","71","91","0","0",,"80.2","88.0","72.4"
